Resource,MA_natural_gas_combined_cycle,MA_solar_pv,CT_natural_gas_combined_cycle,CT_onshore_wind,CT_solar_pv,ME_natural_gas_combined_cycle,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.2420789769736,0.0
t170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1458.9248147300927,0.0
t171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.6075504832115,0.0
t172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.6075504832115,0.0
t173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2369.6075504832115,0.0
t174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3280.2902862363308,0.0
t175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3732.998641326759,0.0
t176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3397.1394644501765,0.0
t179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2864.755858557596,0.0
t180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2864.755858557596,0.0
t181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156.2852961432764,0.0
t182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2156.2852961432764,0.0
t183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1321.7277772072175,0.0
t184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457.8224321842023,0.0
t185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.1662145882326,0.0
t186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.1662145882326,0.0
t187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.1662145882326,0.0
t188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.1662145882326,0.0
t189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,392.1662145882326,0.0
t190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,910.682735753119,0.0
t195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1821.365471506238,0.0
t196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1821.365471506238,0.0
t197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2722.95590557364,0.0
t198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2722.95590557364,0.0
t199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3633.638641326759,0.0
t200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3348.226420971916,0.0
t204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2809.3210759489007,0.0
t205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2809.3210759489007,0.0
t206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097.589643969364,0.0
t207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2097.589643969364,0.0
t208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1259.7712554680877,0.0
t209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.08330174942034,0.0
t210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.08330174942034,0.0
t211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.71051597251991,0.0
t217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.71051597251991,0.0
t218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,473.7755805578995,0.0
t219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384.4583163110185,0.0
t220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2295.1410520641375,0.0
t221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2295.1410520641375,0.0
t222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3205.8237878172567,0.0
t223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3560.182942711046,0.0
t226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3131.060206383683,0.0
t227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3131.060206383683,0.0
t228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2363.8939917954503,0.0
t229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.4669076420005,0.0
t230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.4669076420005,0.0
t231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.4669076420005,0.0
t232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.209692849102,0.0
t233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1055.209692849102,0.0
t234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6305159725199,0.0
t241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6305159725199,0.0
t242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1009.3132517256389,0.0
t243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.3009500399216,0.0
t244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1955.9836857930406,0.0
t245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2866.6664215461597,0.0
t246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3446.0525079284375,0.0
t250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2877.7993368184657,0.0
t251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2877.7993368184657,0.0
t252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2877.7993368184657,0.0
t253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2151.89682361323,0.0
t254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.948411806615,0.0
t255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.948411806615,0.0
t256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.948411806615,0.0
t257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.948411806615,0.0
t258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1075.948411806615,0.0
t259,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t260,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8705159725198977,0.0
t265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,256.1410319450398,0.0
t266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1166.823767698159,0.0
t267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2077.506503451278,0.0
t268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2077.506503451278,0.0
t269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2988.1892392043974,0.0
t270,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3558.198641326759,0.0
t271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3350.400334015394,0.0
t274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2656.060206383683,0.0
t275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2656.060206383683,0.0
t276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2656.060206383683,0.0
t277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982.245061177456,0.0
t278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982.245061177456,0.0
t279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.2966493708412,0.0
t280,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.2966493708412,0.0
t281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.2966493708412,0.0
t282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.2966493708412,0.0
t283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.2966493708412,0.0
t284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.2305159725199,0.0
t290,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.1867693318023,0.0
t291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1657.8695050849215,0.0
t292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1867.3166594997194,0.0
t293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1867.3166594997194,0.0
t294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2777.9993952528384,0.0
t295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3572.918641326759,0.0
t296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3777.349157299279,0.0
t298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3463.4438122762635,0.0
t299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2953.8862933402047,0.0
t300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2953.8862933402047,0.0
t301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.8070352737113,0.0
t302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.8070352737113,0.0
t303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2162.8070352737113,0.0
t304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.6408206854787,0.0
t305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.6408206854787,0.0
t306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1095.6408206854787,0.0
t307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.5140406751891,0.0
t308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.5140406751891,0.0
