Resource,Zone,Retrofit_Id,StartCap,RetCap,RetroCap,NewCap,EndCap,CapacityConstraintDual,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
natural_gas_combined_cycle,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_super_1,1,1_NE,1070.3124156575122,0.0,0.0,0.0,1070.3124156575122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_super_2,1,2_NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_super_3,1,3_NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_super_4,1,4_NE,3073.6875843424855,0.0,0.0,0.0,3073.6875843424855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_super_5,1,5_NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20A_retrofit_1,1,1_NE,4929.687584342488,0.0,0.0,0.0,4929.687584342488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20A_retrofit_2,1,2_NE,2696.312415657514,0.0,0.0,0.0,2696.312415657514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20A_retrofit_3,1,3_NE,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20A_retrofit_4,1,4_NE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20A_retrofit_5,1,5_NE,6000.0,0.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_pv,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onshore_wind,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery,1,None,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,n/a,n/a,23770.0,0.0,0.0,0.0,23770.0,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
