Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_natural_gas_fired_combustion_turbine_2,NENGREST_natural_gas_steam_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_natural_gas_fired_combustion_turbine_1,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_CT_naturalgas_ccccsavgcf_mid_0,NENG_CT_naturalgas_ccavgcf_mid_0,NENG_CT_naturalgas_ctavgcf_mid_0,NENG_CT_battery_mid_0,NENG_CT_naturalgas_ccs100_mid_0,NENG_CT_landbasedwind_ltrg1_mid_110_1,NENG_CT_utilitypv_losangeles_mid_80_0_2_1,NENG_CT_offshorewind_otrg3_mid_fixed_1_176_77_1,NENG_ME_naturalgas_ccccsavgcf_mid_0,NENG_ME_naturalgas_ccavgcf_mid_0,NENG_ME_naturalgas_ctavgcf_mid_0,NENG_ME_battery_mid_0,NENG_ME_naturalgas_ccs100_mid_0,NENG_ME_landbasedwind_ltrg1_mid_110_1,NENG_ME_utilitypv_losangeles_mid_100_0_2_1,NENGREST_heat_load_shifting_1,NENG_CT_heat_load_shifting_1,NENG_ME_heat_load_shifting_1
1,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4256,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1096,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.29,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.160570681,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.252668351,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.431885868,0.0,0.524105848,0.524011001,0.524379433
2,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2923,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1097,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.2866,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.109217495,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23330684,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45360738,0.0,0.506887385,0.506875397,0.507092199
3,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1925,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1475,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.3085,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.106418639,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.256683856,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.496107429,0.0,0.49861044,0.498624921,0.498670213
4,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.209,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1033,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.1829,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.104868852,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22366941,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.349143177,0.0,0.4949855,0.495028559,0.495124113
5,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2068,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.0775,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.1996,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.107377291,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.177673981,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.314562023,0.0,0.498247946,0.498201819,0.49822695
6,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2067,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.0869,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.2681,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.115992263,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.193624631,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.419279188,0.0,0.511841469,0.511741062,0.511968085
7,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1446,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1155,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.2711,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.077996135,0.0,0.964708924,1.0,1.0,1.0,1.0,1.0,0.223193496,0.0,0.981933296,1.0,1.0,1.0,1.0,1.0,0.457887143,0.0,0.535947318,0.535857838,0.535904255
8,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1159,0.3901,0.0,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1327,0.3178,0.0,1.0,0.6624,1.0,1.0,1.0,0.2358,0.6624,0.0,1.0,1.0,1.0,1.0,1.0,0.064411893,0.0,0.859868348,1.0,1.0,1.0,1.0,1.0,0.196382344,0.0,0.693728566,1.0,1.0,1.0,1.0,1.0,0.423730552,0.0,0.56222813,0.562301671,0.5625
9,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1664,0.3901,0.2175,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.1563,0.3178,0.2258,1.0,0.6624,1.0,1.0,1.0,0.2464,0.6624,0.1997,1.0,1.0,1.0,1.0,1.0,0.098334894,0.404655278,1.0,1.0,1.0,1.0,1.0,1.0,0.263617486,0.401312143,0.990814686,1.0,1.0,1.0,1.0,1.0,0.459070086,0.440780342,0.597087965,0.596995981,0.597074468
10,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1006,0.3901,0.4081,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.0155,0.3178,0.4428,1.0,0.6624,1.0,1.0,1.0,0.074,0.6624,0.4197,1.0,1.0,1.0,1.0,1.0,0.050663918,0.679540217,0.956516743,1.0,1.0,1.0,1.0,1.0,0.062423609,0.68576932,0.840303779,1.0,1.0,1.0,1.0,1.0,0.139345616,0.720973849,0.61859594,0.618574149,0.618794326
11,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0487,0.3901,0.5613,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3178,0.5538,1.0,0.6624,1.0,1.0,1.0,0.0244,0.6624,0.5556,1.0,1.0,1.0,1.0,1.0,0.009933624,0.833085418,0.73586607,1.0,1.0,1.0,1.0,1.0,0.004825974,0.769854367,0.615973592,1.0,1.0,1.0,1.0,1.0,0.047255825,0.860327959,0.627054132,0.627036175,0.627216312
12,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0376,0.3901,0.5322,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.0065,0.3178,0.6097,1.0,0.6624,1.0,1.0,1.0,0.0085,0.6624,0.6247,1.0,1.0,1.0,1.0,1.0,0.009950076,0.780405462,0.693450689,1.0,1.0,1.0,1.0,1.0,0.01372513,0.854087532,0.560471773,1.0,1.0,1.0,1.0,1.0,0.025679257,0.950450242,0.626933301,0.626824624,0.62677305
13,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0262,0.3901,0.5679,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.0269,0.3178,0.6059,1.0,0.6624,1.0,1.0,1.0,0.008,0.6624,0.5837,1.0,1.0,1.0,1.0,1.0,0.004341427,0.862391829,0.582497954,1.0,1.0,1.0,1.0,1.0,0.031877942,0.823680341,0.259051323,1.0,1.0,1.0,1.0,1.0,0.029347412,0.900006175,0.62318753,0.623228263,0.62322695
14,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0174,0.3901,0.5247,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.0101,0.3178,0.5139,1.0,0.6624,1.0,1.0,1.0,0.0026,0.6624,0.5606,1.0,1.0,1.0,1.0,1.0,0.002885567,0.785116851,0.586721659,1.0,1.0,1.0,1.0,1.0,0.01491439,0.66516012,0.155594766,1.0,1.0,1.0,1.0,1.0,0.015595263,0.772518218,0.618475109,0.618574149,0.618351064
15,1.0,0.3901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.004,0.3901,0.4229,1.0,0.3178,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3178,0.4232,1.0,0.6624,1.0,1.0,1.0,0.0138,0.6624,0.4619,1.0,1.0,1.0,1.0,1.0,0.002349213,0.637138128,0.539751291,1.0,1.0,1.0,1.0,1.0,0.00301314,0.593340456,0.220113367,1.0,1.0,1.0,1.0,1.0,0.033706091,0.706330597,0.616602223,0.616670193,0.616578014
