Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3
50000,1,1.0,1.0,2000,11,168,842.3076923076924,1,6187.825541354598,1767.2714201216886,843.077705752928
,2,0.9,0.04,1800,,,1179.2307692307693,2,5932.224856230825,1693.833805793912,808.7442245231707
,3,0.55,0.024,1100,,,673.8461538461539,3,5814.91558656581,1660.453072008559,792.5311917202298
,4,0.2,0.003,400,,,1010.7692307692308,4,5813.008118766379,1660.453072008559,792.5311917202298
,,,,,,,673.8461538461539,5,6013.292237706649,1717.6771870691641,819.2350104544854
,,,,,,,1516.1538461538462,6,6684.720903106408,1909.3779725221914,910.7909604005047
,,,,,,,168.46153846153848,7,7936.0197795332315,2266.0749563999634,1082.458366549291
,,,,,,,1853.076923076923,8,8666.579946715356,2474.9429763711723,1181.6439789908118
,,,,,,,505.3846153846154,9,8872.586469053918,2534.0745619337977,1209.3015055370051
,,,,,,,168.46153846153848,10,8989.895738718933,2567.4552957191504,1225.514538339946
,,,,,,,168.46153846153848,11,9137.724493174845,2609.4196467635943,1245.5424023906378
,,,,,,,,12,9213.069471252375,2631.3555575368264,1256.0331883219526
,,,,,,,,13,9216.884406851237,2632.309292787836,1256.9868961338902
,,,,,,,,14,9252.172561140713,2641.846645297937,1260.801727381641
,,,,,,,,15,9179.68878476233,2621.8182050267255,1251.2646492622641
,,,,,,,,16,9072.870587994186,2591.2986769944027,1236.9590320831985
,,,,,,,,17,9003.248013314951,2571.270236723191,1227.4219539638216
,,,,,,,,18,9001.340545515519,2570.316501472181,1227.4219539638216
,,,,,,,,19,9070.00938629504,2590.3449417433926,1236.9590320831985
,,,,,,,,20,9569.765949745997,2732.451494143895,1304.6722867307753
,,,,,,,,21,9349.4534189117,2670.45870282824,1275.1073445607067
,,,,,,,,22,8634.152994125026,2465.4056238610715,1176.8754399311233
,,,,,,,,23,7709.984845300642,2202.174694582288,1050.9860087553468
,,,,,,,,24,6887.866223745823,1967.5558228338066,938.448486946698
,,,,,,,,25,6349.006570406528,1813.0507121701728,865.9666932394327
,,,,,,,,26,6069.562537789867,1733.8906863363356,827.8183807619247
,,,,,,,,27,5940.808461328265,1696.6950115469424,809.6979323351084
,,,,,,,,28,5901.705371439927,1685.2501885348213,803.9756854634821
,,,,,,,,29,6087.683481884463,1738.659362591386,829.7257963858001
,,,,,,,,30,6712.379186198159,1917.007854530272,914.6057916482555
,,,,,,,,31,7931.251110034653,2265.1212211489533,1081.5046587373533
,,,,,,,,32,8638.921663623603,2467.3130943630913,1177.829147743061
,,,,,,,,33,8812.501233371837,2516.907327415616,1201.6718430415035
,,,,,,,,34,8903.105953844815,2542.6581791928884,1213.116336784756
,,,,,,,,35,9029.952562506985,2578.9001187312715,1231.2367852115724
,,,,,,,,36,9110.066210083094,2601.7897647555137,1241.727571142887
,,,,,,,,37,9146.308098272286,2612.2808525166247,1247.4498180145133
,,,,,,,,38,9218.791874650668,2632.309292787836,1256.9868961338902
,,,,,,,,39,9193.994793258064,2625.6331460307656,1253.1720648861394
,,,,,,,,40,9150.123033871148,2613.2345877676344,1247.4498180145133
,,,,,,,,41,9144.400630472854,2611.3271172656146,1246.4961102025757
,,,,,,,,42,9167.290244066027,2618.003264022685,1249.3572336383886
,,,,,,,,43,9178.735050862615,2621.8182050267255,1251.2646492622641
,,,,,,,,44,9664.185605817838,2760.1098164231876,1318.024196097903
,,,,,,,,45,9504.912044565339,2714.3305243747036,1295.1352086113984
,,,,,,,,46,8813.454967271553,2516.907327415616,1201.6718430415035
,,,,,,,,47,7858.76733365627,2244.1390456267313,1071.0138728060385
,,,,,,,,48,7031.880042602874,2007.6127033762302,958.4763509973898
,,,,,,,,49,6465.362106171827,1846.4314459555258,881.226018230436
,,,,,,,,50,6165.889661661139,1760.595273364618,840.2165823171148
,,,,,,,,51,5992.310091912906,1711.0010403120937,817.32759483061
,,,,,,,,52,5948.43833252599,1698.6024820489624,810.6516401470461
,,,,,,,,53,6102.943224279912,1743.4280388464365,832.5869198216132
,,,,,,,,54,6695.211976003278,1912.2391782752215,912.6983760243801
,,,,,,,,55,7904.5465608426175,2257.4913391408727,1077.6898274896025
,,,,,,,,56,8617.939517829862,2460.636947606021,1174.968024307248
,,,,,,,,57,8898.337284346238,2541.7044439418783,1213.116336784756
,,,,,,,,58,9071.916854094472,2590.3449417433926,1236.9590320831985
,,,,,,,,59,9260.756166238154,2644.7078510509673,1261.7554351935787
,,,,,,,,60,9377.111702003453,2678.0885848363205,1278.9221758084575
,,,,,,,,61,9408.584920694066,2686.672202095411,1282.7370070562083
,,,,,,,,62,9461.994019078138,2702.8857013625825,1290.3666695517097
,,,,,,,,63,9434.335735986386,2694.302084103492,1285.5981304920213
,,,,,,,,64,9386.649041000608,2680.9497905893504,1279.8758836203951
,,,,,,,,65,9362.805693507718,2674.27364383228,1276.0610523726443
,,,,,,,,66,9360.898225708288,2673.31990858127,1276.0610523726443
,,,,,,,,67,9325.610071418812,2663.782556071169,1271.2925133129559
,,,,,,,,68,9771.003802585981,2789.6756092045002,1332.3298132769687
,,,,,,,,69,9604.100370135757,2742.942581905006,1309.4408257904638
,,,,,,,,70,8926.949301337705,2549.334325949959,1216.9311680325068
,,,,,,,,71,7994.197547415881,2283.242190918145,1089.1343212328547
,,,,,,,,72,7129.160900373861,2035.2710256555226,971.8282603645176
,,,,,,,,73,6603.653521630585,1886.4883264979494,900.30017446919
,,,,,,,,74,6257.448116033834,1786.3461251418903,852.6147838723049
,,,,,,,,75,6083.8685462856,1737.705627340376,828.7720885738624
,,,,,,,,76,6022.829576703804,1719.5846575711844,821.1424260783608
,,,,,,,,77,6157.306056563699,1757.7340676115878,839.2628745051771
,,,,,,,,78,6734.3150658916165,1923.6840012873427,918.4206228960063
,,,,,,,,79,7931.251110034653,2265.1212211489533,1081.5046587373533
,,,,,,,,80,8647.505268721045,2470.1743001161217,1178.7828555549988
,,,,,,,,81,8935.532906435144,2551.241796451979,1217.8848758444444
,,,,,,,,82,9156.799171169156,2615.1420582696546,1248.403525826451
,,,,,,,,83,9382.834105401746,2679.9960553383407,1278.9221758084575
,,,,,,,,84,9505.865778465053,2714.3305243747036,1296.088916423336
,,,,,,,,85,9538.292731055384,2723.8678768848044,1299.9037476710869
,,,,,,,,86,9646.064661723241,2755.3411401681374,1315.1630726620901
,,,,,,,,87,9644.157193923811,2754.3874049171272,1314.2093648501523
,,,,,,,,88,9628.897451528363,2749.6187286620766,1313.2556570382146
,,,,,,,,89,9612.683975233198,2745.8037876580365,1310.3945336024015
,,,,,,,,90,9574.534619244574,2734.3589646459154,1304.6722867307753
,,,,,,,,91,9474.39255977444,2705.746907115613,1291.3203773636476
,,,,,,,,92,9883.544402752419,2823.0563429898534,1347.589138267972
,,,,,,,,93,9746.206721193377,2783.95319769844,1328.514982029218
,,,,,,,,94,9082.407926991342,2594.1598827474327,1237.9127398951362
,,,,,,,,95,8119.13668827862,2318.5303952055183,1107.2547696596712
,,,,,,,,96,7266.498581932903,2075.3279061979465,990.9024166032716
,,,,,,,,97,6716.194121797022,1917.961589781282,915.5594994601933
,,,,,,,,98,6374.757385698848,1819.7268589272433,868.8278166752458
,,,,,,,,99,6162.074726062277,1759.641538113608,840.2165823171148
,,,,,,,,100,6094.359619182472,1740.5668330934063,830.6795041977379
,,,,,,,,101,6225.0211634435045,1776.8087726317895,847.8462448126164
,,,,,,,,102,6767.695752381662,1933.2213537974435,922.2354541437571
,,,,,,,,103,7898.824157444324,2255.5838686388524,1076.7361196776646
,,,,,,,,104,8620.800719529008,2462.544418108041,1174.968024307248
,,,,,,,,105,8904.059687744531,2542.6581791928884,1213.116336784756
,,,,,,,,106,9089.08406428935,2596.067353249453,1238.866447707074
,,,,,,,,107,9250.265093341282,2641.846645297937,1260.801727381641
,,,,,,,,108,9295.090586627914,2654.245203561068,1266.5239742532672
,,,,,,,,109,9221.653076349816,2633.263028038846,1256.9868961338902
,,,,,,,,110,9243.588956043273,2639.939174795917,1259.8480195697034
,,,,,,,,111,9158.706638968588,2616.0957935206648,1248.403525826451
,,,,,,,,112,9049.027240501298,2584.622530237332,1233.1442008354477
,,,,,,,,113,8988.942004819217,2566.5015604681403,1225.514538339946
,,,,,,,,114,8889.753679248797,2538.843238188848,1212.1626289728183
,,,,,,,,115,8714.266641701133,2489.2490051363234,1188.3199336743758
,,,,,,,,116,9078.59299139248,2593.2061474964225,1237.9127398951362
,,,,,,,,117,8910.73582504254,2545.5193849459183,1215.0237524086315
,,,,,,,,118,8395.719519196135,2397.690421039355,1144.4493743252415
,,,,,,,,119,7699.493772403771,2198.3597535782474,1049.0785931314713
,,,,,,,,120,6963.211201823353,1988.5379983560285,948.9392728780127
,,,,,,,,121,6405.276870489746,1829.264211437344,872.6426479229966
,,,,,,,,122,6057.163997093565,1729.1220100812852,825.9109651380493
,,,,,,,,123,5858.787345952726,1672.85163027169,799.2071464037937
,,,,,,,,124,5753.876616984015,1643.2858374903774,784.9015292247282
,,,,,,,,125,5763.41395598117,1646.1470432434078,784.9015292247282
,,,,,,,,126,5957.02193762343,1700.5099525509827,811.6053479589838
,,,,,,,,127,6351.867772105675,1814.004447421183,865.9666932394327
,,,,,,,,128,6825.873520264311,1949.434853064615,929.8651166392588
,,,,,,,,129,7475.366305970612,2135.4132270115815,1019.5136509614026
,,,,,,,,130,7939.834715132093,2267.9824269019837,1082.458366549291
,,,,,,,,131,8143.933769671225,2326.160277213599,1110.1158930954844
,,,,,,,,132,8182.083125659848,2336.65136497471,1115.8381399671105
,,,,,,,,133,8090.524671287153,2310.9005131974372,1102.4862305999827
,,,,,,,,134,7928.389908335506,2264.167485897943,1080.5509509254155
,,,,,,,,135,7796.774630174758,2226.0180758575398,1063.384210310537
,,,,,,,,136,7733.828192793531,2208.8508413393583,1054.8008400030976
,,,,,,,,137,7788.191025077318,2224.1106053555195,1061.4767946866616
,,,,,,,,138,7985.61394231844,2280.380985165115,1088.180613420917
,,,,,,,,139,8185.898061258709,2337.60510022572,1115.8381399671105
,,,,,,,,140,8512.075054961433,2431.071154824708,1159.7086993162447
,,,,,,,,141,8355.66269540808,2386.2455980272343,1139.680835265553
,,,,,,,,142,7928.389908335506,2264.167485897943,1080.5509509254155
,,,,,,,,143,7352.334632907304,2100.1250227242085,1002.346910346524
,,,,,,,,144,6759.1121472842215,1929.4064127934032,921.2817463318195
,,,,,,,,145,6266.985455030989,1790.1610661459306,854.5221994961803
,,,,,,,,146,5942.715929127697,1696.6950115469424,809.6979323351084
,,,,,,,,147,5778.673698376619,1649.961984247448,787.7626526605412
,,,,,,,,148,5698.560050800512,1627.072338223206,776.3181589172889
,,,,,,,,149,5711.912325396529,1631.8410144782565,779.1792823531019
,,,,,,,,150,5842.573869657562,1668.0829540166396,796.3460229679805
,,,,,,,,151,6148.722451466259,1755.8265971095675,837.3554588813017
,,,,,,,,152,6562.642963942815,1874.0897682348182,894.5779275975638
,,,,,,,,153,7217.858153047409,2061.021877432795,983.27275410777
,,,,,,,,154,7782.468621679025,2222.2031348534993,1060.5230868747237
,,,,,,,,155,8135.350164573784,2323.2990714605685,1109.1621852835465
,,,,,,,,156,8343.264154711778,2382.430657023194,1136.8197118297398
,,,,,,,,157,8413.84046329073,2402.4590972944056,1146.356789949117
