Time_Index,uranium,coal,natural_gas,none,coal_ccs,natural_gas_ccs
0,0.0,0.102491,0.053513,0.0,0.0102491,0.0053513
1,1.06,2.13,3.46,0.0,2.13,3.46
2,1.06,2.13,3.46,0.0,2.13,3.46
3,1.06,2.13,3.46,0.0,2.13,3.46
4,1.06,2.13,3.46,0.0,2.13,3.46
5,1.06,2.13,3.46,0.0,2.13,3.46
6,1.06,2.13,3.46,0.0,2.13,3.46
7,1.06,2.13,3.46,0.0,2.13,3.46
8,1.06,2.13,3.46,0.0,2.13,3.46
9,1.06,2.13,3.46,0.0,2.13,3.46
10,1.06,2.13,3.46,0.0,2.13,3.46
11,1.06,2.13,3.46,0.0,2.13,3.46
12,1.06,2.13,3.46,0.0,2.13,3.46
13,1.06,2.13,3.46,0.0,2.13,3.46
14,1.06,2.13,3.46,0.0,2.13,3.46
15,1.06,2.13,3.46,0.0,2.13,3.46
16,1.06,2.13,3.46,0.0,2.13,3.46
17,1.06,2.13,3.46,0.0,2.13,3.46
18,1.06,2.13,3.46,0.0,2.13,3.46
19,1.06,2.13,3.46,0.0,2.13,3.46
20,1.06,2.13,3.46,0.0,2.13,3.46
21,1.06,2.13,3.46,0.0,2.13,3.46
22,1.06,2.13,3.46,0.0,2.13,3.46
23,1.06,2.13,3.46,0.0,2.13,3.46
24,1.06,2.13,3.46,0.0,2.13,3.46
25,1.06,2.13,3.46,0.0,2.13,3.46
26,1.06,2.13,3.46,0.0,2.13,3.46
27,1.06,2.13,3.46,0.0,2.13,3.46
28,1.06,2.13,3.46,0.0,2.13,3.46
29,1.06,2.13,3.46,0.0,2.13,3.46
30,1.06,2.13,3.46,0.0,2.13,3.46
31,1.06,2.13,3.46,0.0,2.13,3.46
32,1.06,2.13,3.46,0.0,2.13,3.46
33,1.06,2.13,3.46,0.0,2.13,3.46
34,1.06,2.13,3.46,0.0,2.13,3.46
35,1.06,2.13,3.46,0.0,2.13,3.46
36,1.06,2.13,3.46,0.0,2.13,3.46
37,1.06,2.13,3.46,0.0,2.13,3.46
38,1.06,2.13,3.46,0.0,2.13,3.46
39,1.06,2.13,3.46,0.0,2.13,3.46
40,1.06,2.13,3.46,0.0,2.13,3.46
41,1.06,2.13,3.46,0.0,2.13,3.46
42,1.06,2.13,3.46,0.0,2.13,3.46
43,1.06,2.13,3.46,0.0,2.13,3.46
44,1.06,2.13,3.46,0.0,2.13,3.46
45,1.06,2.13,3.46,0.0,2.13,3.46
46,1.06,2.13,3.46,0.0,2.13,3.46
47,1.06,2.13,3.46,0.0,2.13,3.46
48,1.06,2.13,3.46,0.0,2.13,3.46
49,1.06,2.13,3.46,0.0,2.13,3.46
50,1.06,2.13,3.46,0.0,2.13,3.46
51,1.06,2.13,3.46,0.0,2.13,3.46
52,1.06,2.13,3.46,0.0,2.13,3.46
53,1.06,2.13,3.46,0.0,2.13,3.46
54,1.06,2.13,3.46,0.0,2.13,3.46
55,1.06,2.13,3.46,0.0,2.13,3.46
56,1.06,2.13,3.46,0.0,2.13,3.46
57,1.06,2.13,3.46,0.0,2.13,3.46
58,1.06,2.13,3.46,0.0,2.13,3.46
59,1.06,2.13,3.46,0.0,2.13,3.46
60,1.06,2.13,3.46,0.0,2.13,3.46
61,1.06,2.13,3.46,0.0,2.13,3.46
62,1.06,2.13,3.46,0.0,2.13,3.46
63,1.06,2.13,3.46,0.0,2.13,3.46
64,1.06,2.13,3.46,0.0,2.13,3.46
65,1.06,2.13,3.46,0.0,2.13,3.46
66,1.06,2.13,3.46,0.0,2.13,3.46
