Resource,MA_natural_gas,MA_natural_gas_CCS_retro,MA_wind,MA_solar_pv,CT_natural_gas,CT_wind,CT_solar_pv,ME_natural_gas,ME_wind,ME_solar_pv,MA_battery,CT_battery,ME_battery
Zone,1,1,1,1,2,2,2,3,3,3,1,2,3
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,31.510159368966256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,31.510159368966256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,31.510159368966256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,33.457930235809094,0.0,0.0,7.024165951027105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,33.457930235809094,0.0,0.0,7.024165951027105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,33.457930235809094,0.0,0.0,7.024165951027105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,33.457930235809094,0.0,0.0,7.024165951027105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,33.457930235809094,0.0,0.0,7.024165951027105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,0.0,33.457930235809094,0.0,0.0,7.024165951027105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,0.0,33.457930235809094,0.0,0.0,7.024165951027105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,0.0,33.457930235809094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,0.0,33.457930235809094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,0.0,33.457930235809094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,22.728141881434933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,0.0,22.728141881434933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,22.728141881434933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,22.728141881434933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,22.728141881434933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,0.0,22.728141881434933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,22.728141881434933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
