Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
MA_natural_gas_combined_cycle,1,0.0,0.0,10922.068728711469,10922.068728711469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_solar_pv,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_natural_gas_combined_cycle,2,0.0,0.0,10384.589072321249,10384.589072321249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_onshore_wind,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_solar_pv,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_natural_gas_combined_cycle,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_onshore_wind,3,0.0,0.0,1476.3587788593427,1476.3587788593427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_battery,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CT_battery,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME_battery,3,0.0,0.0,749.5116967267965,749.5116967267965,0.0,0.0,2216.969839326482,2216.969839326482,0.0,0.0,0.0,0.0
Total,n/a,0.0,0.0,23532.528276618857,23532.528276618857,0.0,0.0,2216.969839326482,2216.969839326482,0.0,0.0,0.0,0.0
