Time_Index,CT_NG,ME_NG,MA_NG,None
0,0.05306,0.05306,0.05306,0.0
1,3.14,3.14,3.69,0.0
2,3.14,3.14,3.69,0.0
3,3.14,3.14,3.69,0.0
4,3.14,3.14,3.69,0.0
5,3.14,3.14,3.69,0.0
6,3.14,3.14,3.69,0.0
7,3.14,3.14,3.69,0.0
8,3.14,3.14,3.69,0.0
9,3.14,3.14,3.69,0.0
10,3.14,3.14,3.69,0.0
11,3.14,3.14,3.69,0.0
12,3.14,3.14,3.69,0.0
13,3.14,3.14,3.69,0.0
14,3.14,3.14,3.69,0.0
15,3.14,3.14,3.69,0.0
16,3.14,3.14,3.69,0.0
17,3.14,3.14,3.69,0.0
18,3.14,3.14,3.69,0.0
19,3.14,3.14,3.69,0.0
20,3.14,3.14,3.69,0.0
21,3.14,3.14,3.69,0.0
22,3.14,3.14,3.69,0.0
23,3.14,3.14,3.69,0.0
24,3.14,3.14,3.69,0.0
25,3.14,3.14,3.69,0.0
26,3.14,3.14,3.69,0.0
27,3.14,3.14,3.69,0.0
28,3.14,3.14,3.69,0.0
29,3.14,3.14,3.69,0.0
30,3.14,3.14,3.69,0.0
31,3.14,3.14,3.69,0.0
32,3.14,3.14,3.69,0.0
33,3.14,3.14,3.69,0.0
34,3.14,3.14,3.69,0.0
35,3.14,3.14,3.69,0.0
36,3.14,3.14,3.69,0.0
37,3.14,3.14,3.69,0.0
38,3.14,3.14,3.69,0.0
39,3.14,3.14,3.69,0.0
40,3.14,3.14,3.69,0.0
41,3.14,3.14,3.69,0.0
42,3.14,3.14,3.69,0.0
43,3.14,3.14,3.69,0.0
44,3.14,3.14,3.69,0.0
45,3.14,3.14,3.69,0.0
46,3.14,3.14,3.69,0.0
47,3.14,3.14,3.69,0.0
48,3.14,3.14,3.69,0.0
49,3.14,3.14,3.69,0.0
50,3.14,3.14,3.69,0.0
51,3.14,3.14,3.69,0.0
52,3.14,3.14,3.69,0.0
53,3.14,3.14,3.69,0.0
54,3.14,3.14,3.69,0.0
55,3.14,3.14,3.69,0.0
56,3.14,3.14,3.69,0.0
57,3.14,3.14,3.69,0.0
58,3.14,3.14,3.69,0.0
59,3.14,3.14,3.69,0.0
60,3.14,3.14,3.69,0.0
61,3.14,3.14,3.69,0.0
62,3.14,3.14,3.69,0.0
63,3.14,3.14,3.69,0.0
64,3.14,3.14,3.69,0.0
65,3.14,3.14,3.69,0.0
66,3.14,3.14,3.69,0.0
67,3.14,3.14,3.69,0.0
68,3.14,3.14,3.69,0.0
69,3.14,3.14,3.69,0.0
70,3.14,3.14,3.69,0.0
71,3.14,3.14,3.69,0.0
72,3.14,3.14,3.69,0.0
73,3.14,3.14,3.69,0.0
74,3.14,3.14,3.69,0.0
75,3.14,3.14,3.69,0.0
76,3.14,3.14,3.69,0.0
77,3.14,3.14,3.69,0.0
78,3.14,3.14,3.69,0.0
79,3.14,3.14,3.69,0.0
80,3.14,3.14,3.69,0.0
81,3.14,3.14,3.69,0.0
82,3.14,3.14,3.69,0.0
83,3.14,3.14,3.69,0.0
84,3.14,3.14,3.69,0.0
85,3.14,3.14,3.69,0.0
86,3.14,3.14,3.69,0.0
87,3.14,3.14,3.69,0.0
88,3.14,3.14,3.69,0.0
89,3.14,3.14,3.69,0.0
90,3.14,3.14,3.69,0.0
91,3.14,3.14,3.69,0.0
92,3.14,3.14,3.69,0.0
93,3.14,3.14,3.69,0.0
94,3.14,3.14,3.69,0.0
95,3.14,3.14,3.69,0.0
96,3.14,3.14,3.69,0.0
97,3.14,3.14,3.69,0.0
98,3.14,3.14,3.69,0.0
99,3.14,3.14,3.69,0.0
100,3.14,3.14,3.69,0.0
101,3.14,3.14,3.69,0.0
102,3.14,3.14,3.69,0.0
103,3.14,3.14,3.69,0.0
104,3.14,3.14,3.69,0.0
105,3.14,3.14,3.69,0.0
106,3.14,3.14,3.69,0.0
107,3.14,3.14,3.69,0.0
108,3.14,3.14,3.69,0.0
109,3.14,3.14,3.69,0.0
110,3.14,3.14,3.69,0.0
111,3.14,3.14,3.69,0.0
112,3.14,3.14,3.69,0.0
113,3.14,3.14,3.69,0.0
114,3.14,3.14,3.69,0.0
115,3.14,3.14,3.69,0.0
116,3.14,3.14,3.69,0.0
117,3.14,3.14,3.69,0.0
118,3.14,3.14,3.69,0.0
119,3.14,3.14,3.69,0.0
120,3.14,3.14,3.69,0.0
121,3.14,3.14,3.69,0.0
122,3.14,3.14,3.69,0.0
123,3.14,3.14,3.69,0.0
124,3.14,3.14,3.69,0.0
125,3.14,3.14,3.69,0.0
126,3.14,3.14,3.69,0.0
127,3.14,3.14,3.69,0.0
128,3.14,3.14,3.69,0.0
129,3.14,3.14,3.69,0.0
130,3.14,3.14,3.69,0.0
131,3.14,3.14,3.69,0.0
132,3.14,3.14,3.69,0.0
133,3.14,3.14,3.69,0.0
134,3.14,3.14,3.69,0.0
135,3.14,3.14,3.69,0.0
136,3.14,3.14,3.69,0.0
137,3.14,3.14,3.69,0.0
138,3.14,3.14,3.69,0.0
139,3.14,3.14,3.69,0.0
140,3.14,3.14,3.69,0.0
141,3.14,3.14,3.69,0.0
142,3.14,3.14,3.69,0.0
143,3.14,3.14,3.69,0.0
144,3.14,3.14,3.69,0.0
145,3.14,3.14,3.69,0.0
146,3.14,3.14,3.69,0.0
147,3.14,3.14,3.69,0.0
148,3.14,3.14,3.69,0.0
149,3.14,3.14,3.69,0.0
150,3.14,3.14,3.69,0.0
151,3.14,3.14,3.69,0.0
152,3.14,3.14,3.69,0.0
153,3.14,3.14,3.69,0.0
154,3.14,3.14,3.69,0.0
155,3.14,3.14,3.69,0.0
156,3.14,3.14,3.69,0.0
157,3.14,3.14,3.69,0.0
158,3.14,3.14,3.69,0.0
159,3.14,3.14,3.69,0.0
160,3.14,3.14,3.69,0.0
161,3.14,3.14,3.69,0.0
162,3.14,3.14,3.69,0.0
163,3.14,3.14,3.69,0.0
164,3.14,3.14,3.69,0.0
