Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
Zone,1.0,2.0,3.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.3928879486131,-0.2717391304347826,-48.336323820267275
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.392887948613186,-0.2717391304347826,-48.336323820267275
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-48.336323820267275
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.04599999999999998,-0.2752692057325527
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.04599999999999998,-0.2752692057325527
t89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t90,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.04599999999999998,-0.2752692057325527
t119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.04599999999999998,-0.2752692057325527
t120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.04599999999999998,-0.2752692057325527
t141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.04599999999999998,-0.2752692057325527
t142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.2717391304347826,-0.2752692057325527
t169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,-0.27173913043478254,-0.2752692057325527
t189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
t202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.27308500245388845,0.045999999999999985,-0.2752692057325527
